Region Name,City Name,School Name,School Score
City of Toronto,Toronto,St Michaels Choir,9.4
Halton Region,Oakville,Abbey Park,9.2
York Region,Thornhill,St Robert,9.2
City of Toronto,Toronto,Ursula Franklin,9.1
York Region,Markham,Markville,8.9
Halton Region,Oakville,Oakville Trafalgar,8.9
Peel Region,Caledon,Wali ul Asr,8.9
York Region,Unionville,Unionville,8.8
York Region,Markham,St Augustine,8.8
York Region,Markham,Pierre Elliott Trudeau,8.7
City of Toronto,Toronto,Cardinal Carter-Arts,8.7
City of Toronto,Toronto,Bloor,8.7
Peel Region,Mississauga,John Fraser,8.7
Halton Region,Oakville,Iroquois Ridge,8.6
City of Toronto,Toronto,William Lyon Mackenzie,8.6
Peel Region,Mississauga,St Marcellinus,8.6
City of Toronto,Toronto,Etobicoke-Arts,8.6
Peel Region,Mississauga,ISNA,8.6
City of Toronto,Toronto,Lawrence Park,8.5
City of Toronto,Toronto,North Toronto,8.5
Halton Region,Oakville,Garth Webb,8.5
Peel Region,Mississauga,The Woodlands,8.5
York Region,Markham,Bur Oak,8.4
City of Toronto,Toronto,Leaside,8.4
Halton Region,Oakville,White Oaks,8.3
York Region,Newmarket,Newmarket,8.3
City of Toronto,Toronto,Earl Haig,8.2
Peel Region,Mississauga,St Aloysius Gonzaga,8.2
Halton Region,Burlington,Nelson,8.2
City of Toronto,Toronto,A Y Jackson,8.2
York Region,Markham,Middlefield,8.1
City of Toronto,Toronto,Humberside,8.1
York Region,Unionville,Bill Crothers,8.1
York Region,Aurora,Aurora,8.0
York Region,Thornhill,Westmount,8.0
City of Toronto,Toronto,Agincourt,8.0
City of Toronto,Toronto,Malvern,8.0
Halton Region,Oakville,Thomas A Blakelock,8.0
City of Toronto,Toronto,Rosedale Heights-Arts,8.0
York Region,Markham,Father Michael McGivney,8.0
City of Toronto,Toronto,Forest Hill,7.9
York Region,Thornhill,Thornhill,7.9
City of Toronto,Toronto,Father John Redmond,7.9
Peel Region,Mississauga,Our Lady of Mount Carmel,7.9
Halton Region,Burlington,Lester B Pearson,7.9
York Region,Thornhill,Stephen Lewis,7.8
Peel Region,Mississauga,Cawthra Park,7.8
Peel Region,Mississauga,Lorne Park,7.8
Halton Region,Oakville,Sainte-Trinit,7.8
City of Toronto,Toronto,Richview,7.7
City of Toronto,Toronto,Dr Norman Bethune,7.7
City of Toronto,Toronto,Etobicoke,7.7
City of Toronto,Toronto,Notre Dame,7.7
City of Toronto,Toronto,W A Porter,7.7
City of Toronto,Toronto,R H King,7.7
City of Toronto,Toronto,Sir John A Macdonald,7.7
City of Toronto,Toronto,Collge Franais,7.7
Peel Region,Mississauga,Gordon Graydon,7.7
Halton Region,Milton,Bishop Paul Francis Reding,7.6
Peel Region,Mississauga,St Francis Xavier,7.6
City of Toronto,Toronto,Northern,7.6
Halton Region,Milton,Milton,7.6
Halton Region,Burlington,Dr. Frank J. Hayden,7.6
Durham Region,Uxbridge,Uxbridge,7.6
Peel Region,Brampton,Holy Name of Mary,7.5
York Region,Aurora,Renaissance,7.5
Halton Region,Oakville,St Ignatius of Loyola,7.5
York Region,Thornhill,Thornlea,7.5
York Region,Unionville,Milliken Mills,7.5
Peel Region,Mississauga,St Paul,7.5
Peel Region,Mississauga,Glenforest,7.5
Peel Region,Mississauga,Port Credit,7.5
City of Toronto,Toronto,St Josephs,7.4
Peel Region,Brampton,Cardinal Ambrozic,7.4
Durham Region,Whitby,Brooklin,7.4
Peel Region,Mississauga,Streetsville,7.4
Halton Region,Burlington,Corpus Christi,7.3
Peel Region,Mississauga,Philip Pocock,7.3
York Region,Newmarket,Sacred Heart,7.3
Halton Region,Burlington,Aldershot,7.3
Peel Region,Brampton,Chinguacousy,7.3
Durham Region,Whitby,Donald A. Wilson,7.3
Halton Region,Milton,Jean Vanier,7.3
City of Toronto,Toronto,Saint-Frre-Andr,7.3
Peel Region,Brampton,Jeunes sans frontires,7.2
City of Toronto,Toronto,Harbord,7.2
York Region,Aurora,Dr G W Williams,7.2
Halton Region,Milton,Craig Kielburger,7.2
City of Toronto,Toronto,Don Mills,7.2
Peel Region,Brampton,St. Roch,7.2
York Region,Woodbridge,Tommy Douglas,7.2
City of Toronto,Toronto,Bishop Allen,7.1
City of Toronto,Toronto,Loretto Abbey,7.1
York Region,Thornhill,Vaughan,7.1
City of Toronto,Toronto,Victoria Park,7.1
York Region,Aurora,Cardinal Carter,7.1
Peel Region,Mississauga,Rick Hansen,7.1
Peel Region,Mississauga,Stephen Lewis,7.1
Halton Region,Burlington,Assumption,7.0
York Region,Markham,Markham,7.0
City of Toronto,Toronto,Neil McNeil,7.0
Peel Region,Mississauga,St Joseph,7.0
Peel Region,Mississauga,Iona,7.0
York Region,Markham,St. Brother Andr,7.0
City of Toronto,Toronto,Michael Power/St Joseph,7.0
City of Toronto,Toronto,Delphi Alternative,7.0
City of Toronto,Toronto,Riverdale,7.0
