Region Name,City Name,School Name,School Score
Peel Region,Mississauga,Ahmadiyya,10.0
Peel Region,Brampton,Al-Ameen,10.0
Halton Region,Oakville,Al-Falah,10.0
City of Toronto,Toronto,Avondale Alternative,10.0
Peel Region,Mississauga,IQRA Islamic,10.0
Durham Region,Ajax,Islamic Foundation,10.0
Peel Region,Mississauga,ISNA Islamic,10.0
Peel Region,Brampton,Khalsa Community,10.0
Peel Region,Mississauga,Khalsa School Malton,10.0
Peel Region,Mississauga,Safa & Marwa,10.0
York Region,Markham,Sainte-Marguerite-Bourgeoys,10.0
City of Toronto,Toronto,Sathya Sai,10.0
York Region,Unionville,St. Justin Martyr,10.0
Halton Region,Oakville,St. Mildred's-Lightbourn,10.0
City of Toronto,Toronto,Whitney,10.0
City of Toronto,Toronto,Rosedale,9.9
York Region,Thornhill,Bayview Fairways,9.8
York Region,Markham,Donald Cousens,9.7
City of Toronto,Toronto,Kennedy,9.7
York Region,Vaughan,Le-Petit-Prince,9.7
York Region,Markham,Stonebridge,9.7
City of Toronto,Toronto,Islamic Institute of Toronto,9.6
City of Toronto,Toronto,Salaheddin Islamic,9.6
Peel Region,Brampton,St. Agnes,9.6
York Region,Thornhill,Henderson Avenue,9.5
Peel Region,Mississauga,St. John of the Cross,9.5
York Region,Unionville,William Berczy,9.5
Peel Region,Mississauga,Horizon Jeunesse,9.4
City of Toronto,Toronto,Islamic Foundation,9.4
City of Toronto,Toronto,Northmount,9.4
Peel Region,Mississauga,St. Rose of Lima,9.4
City of Toronto,Toronto,C D Farquharson,9.3
City of Toronto,Toronto,St. Michael's Choir,9.3
City of Toronto,Toronto,Cottingham,9.2
City of Toronto,Toronto,John Ross Robertson,9.2
Peel Region,Mississauga,John XXIII,9.2
City of Toronto,Toronto,Our Lady of Perpetual Help,9.2
Halton Region,Oakville,St. Luke,9.2
Peel Region,Mississauga,St. Mark,9.2
City of Toronto,Toronto,Summit Heights,9.2
Durham Region,Oshawa,Antonine Maillet,9.1
City of Toronto,Toronto,Bialik Hebrew Day,9.1
City of Toronto,Toronto,Charles-Sauriol,9.1
Halton Region,Oakville,Joshua Creek,9.1
York Region,Maple,Michael Cranny,9.1
City of Toronto,Toronto,St. Bonaventure,9.1
York Region,Thornhill,Bayview Glen,9.0
York Region,Unionville,Blessed John XXIII,9.0
City of Toronto,Toronto,Blythwood,9.0
City of Toronto,Toronto,Churchill Heights,9.0
Halton Region,Oakville,Forest Trail,9.0
City of Toronto,Toronto,Hunter's Glen,9.0
City of Toronto,Toronto,Lambton Kingsway,9.0
City of Toronto,Toronto,St. Marguerite Bourgeoys,9.0
York Region,Unionville,Unionville,9.0
York Region,Markham,Coledale,8.9
City of Toronto,Toronto,Courcelette,8.9
Halton Region,Oakville,E J James,8.9
Durham Region,Pickering,Elizabeth B Phin,8.9
City of Toronto,Toronto,Holy Rosary,8.9
City of Toronto,Toronto,Island Public/Natural Science,8.9
Halton Region,Oakville,Pilgrim Wood,8.9
City of Toronto,Toronto,St. Henry,8.9
York Region,Unionville,St. Matthew,8.9
City of Toronto,Toronto,Balmy Beach,8.8
City of Toronto,Toronto,Deer Park,8.8
Durham Region,Whitby,Fallingbrook,8.8
City of Toronto,Toronto,Forest Hill,8.8
York Region,Markham,Franklin Street,8.8
City of Toronto,Toronto,Iroquois,8.8
Halton Region,Burlington,John T Tuck,8.8
City of Toronto,Toronto,Montrose,8.8
Halton Region,Oakville,Munns,8.8
York Region,Unionville,Parkview,8.8
York Region,Markham,San Lorenzo Ruiz,8.8
Peel Region,Mississauga,St. David of Wales,8.8
Peel Region,Mississauga,St. Edmund,8.8
Peel Region,Mississauga,Sts Martha & Mary,8.8
York Region,Markham,Unionville Meadows,8.8
York Region,Thornhill,Baythorn,8.7
City of Toronto,Toronto,Garden Avenue,8.7
Halton Region,Oakville,James W. Hill,8.7
York Region,Markham,Mount Joy,8.7
Peel Region,Mississauga,Olive Grove,8.7
City of Toronto,Toronto,Prince of Peace,8.7
York Region,Markham,Roy H Crosby,8.7
Halton Region,Burlington,St. Anne,8.7
Halton Region,Oakville,Sunningdale,8.7
Peel Region,Caledon,Wali ul Asr,8.7
City of Toronto,Toronto,Allenby,8.6
York Region,Markham,Castlemore,8.6
York Region,Markham,Central Park,8.6
Durham Region,Pickering,Gandatsetiagon,8.6
City of Toronto,Toronto,Mother Cabrini,8.6
Durham Region,Oshawa,Northern Dancer,8.6
York Region,Markham,Sir Richard W Scott,8.6
York Region,Unionville,St. Benedict,8.6
Halton Region,Oakville,St. Matthew's,8.6
York Region,Woodbridge,St. Padre Pio,8.6
City of Toronto,Toronto,Swansea,8.6
York Region,Thornhill,Willowbrook,8.6
City of Toronto,Toronto,Blessed Sacrament,8.5
City of Toronto,Toronto,Brookside,8.5
City of Toronto,Toronto,Humber Valley Village,8.5
York Region,Maple,Mackenzie Glen,8.5
City of Toronto,Toronto,Percy Williams,8.5
City of Toronto,Toronto,St. Vincent de Paul,8.5
Peel Region,Mississauga,Ange-Gabriel,8.4
City of Toronto,Toronto,Bennington Heights,8.4
City of Toronto,Toronto,Brock,8.4
City of Toronto,Toronto,Brookmill Boulevard,8.4
City of Toronto,Toronto,Cedarvale,8.4
City of Toronto,Toronto,Downtown Alternative,8.4
Durham Region,Whitby,Earl A Fairman,8.4
City of Toronto,Toronto,Fairglen,8.4
City of Toronto,Toronto,Fleming,8.4
City of Toronto,Toronto,Frankland,8.4
Peel Region,Mississauga,Hawthorn,8.4
City of Toronto,Toronto,Howard,8.4
City of Toronto,Toronto,John Wanless,8.4
York Region,Maple,Joseph A Gibson,8.4
City of Toronto,Toronto,Milliken,8.4
City of Toronto,Toronto,Orde Street,8.4
York Region,Markham,Parkland,8.4
City of Toronto,Toronto,Shaughnessy,8.4
City of Toronto,Toronto,Sir Samuel B Steele,8.4
City of Toronto,Toronto,St. Clement,8.4
York Region,Vaughan,St. Mary of the Angels,8.4
City of Toronto,Toronto,St. Pius X,8.4
York Region,Markham,Victoria Square,8.4
Durham Region,Pickering,William Dunbar,8.4
Peel Region,Mississauga,AI-Manarat Heights,8.3
York Region,Markham,Beckett Farm,8.3
City of Toronto,Toronto,Beverly Glen,8.3
York Region,Thornhill,Charlton,8.3
City of Toronto,Toronto,Jeanne-Lajoie,8.3
City of Toronto,Toronto,Khairul Ummah,8.3
York Region,Markham,Lincoln Alexander,8.3
Halton Region,Oakville,St. Andrew,8.3
York Region,Woodbridge,St. Gregory the Great,8.3
York Region,Maple,St. James,8.3
Peel Region,Mississauga,St. Thomas More,8.3
City of Toronto,Toronto,The Grove,8.3
York Region,Markham,Wismer,8.3
York Region,Unionville,All Saints,8.2
City of Toronto,Toronto,Alvin Curling,8.2
City of Toronto,Toronto,Anson Park,8.2
City of Toronto,Toronto,Bessborough Drive,8.2
York Region,Markham,Black Walnut,8.2
City of Toronto,Toronto,David Lewis,8.2
York Region,Markham,Fred Varley,8.2
Halton Region,Oakville,Heritage Glen,8.2
City of Toronto,Toronto,Indian Road Crescent,8.2
Durham Region,Whitby,Jack Miner,8.2
City of Toronto,Toronto,King George,8.2
Halton Region,Oakville,Mother Teresa,8.2
Halton Region,Oakville,Oodenawi,8.2
City of Toronto,Toronto,Ossington/Old Orchard,8.2
City of Toronto,Toronto,Pape Avenue,8.2
City of Toronto,Toronto,Runnymede,8.2
City of Toronto,Toronto,St. Barnabas,8.2
City of Toronto,Toronto,St. Denis,8.2
York Region,Thornhill,St. Michael,8.2
City of Toronto,Toronto,St. Sebastian,8.2
Durham Region,Ajax,Vimy Ridge,8.2
City of Toronto,Toronto,Bedford Park,8.1
City of Toronto,Toronto,Bridlewood,8.1
York Region,Thornhill,Carrville Mills,8.1
Halton Region,Burlington,Charles R. Beaudoin,8.1
York Region,Maple,Dr Roberta Bondar,8.1
City of Toronto,Toronto,Elizabeth Simcoe,8.1
York Region,Thornhill,German Mills,8.1
City of Toronto,Toronto,Nativity of Our Lord,8.1
Halton Region,Burlington,Paul A Fisher,8.1
Peel Region,Brampton,Ray Lawson,8.1
Halton Region,Burlington,Renaissance,8.1
City of Toronto,Toronto,St. Anselm,8.1
Peel Region,Mississauga,St. Bernard of Clairvaux,8.1
York Region,Markham,St. Joseph,8.1
York Region,Markham,St. Julia Billiart,8.1
Halton Region,Burlington,St. Raphaels,8.1
Peel Region,Mississauga,St. Therese of the Child Jesus,8.1
Durham Region,Pickering,Altona Forest,8.0
Peel Region,Mississauga,Blessed Teresa of Calcutta,8.0
York Region,Markham,Buttonville,8.0
Peel Region,Brampton,Castlemore,8.0
York Region,Markham,David Suzuki,8.0
York Region,Markham,Highgate,8.0
York Region,Markham,John McCrae,8.0
Durham Region,Oshawa,Kedron,8.0
York Region,Woodbridge,Lorna Jackson,8.0
City of Toronto,Toronto,North Preparatory,8.0
City of Toronto,Toronto,Northlea,8.0
Peel Region,Mississauga,Our Lady of Good Voyage,8.0
City of Toronto,Toronto,Our Lady of Sorrows,8.0
Halton Region,Oakville,Pine Grove,8.0
Peel Region,Mississauga,Queen of Heaven,8.0
Durham Region,Pickering,Rosebank Road,8.0
City of Toronto,Toronto,St. Brendan,8.0
Halton Region,Burlington,St. Christopher,8.0
City of Toronto,Toronto,St. Clare,8.0
York Region,Woodbridge,St. Clement,8.0
Halton Region,Oakville,St. Dominic,8.0
York Region,Markham,St. Francis Xavier,8.0
York Region,Thornhill,St. Joseph The Worker,8.0
City of Toronto,Toronto,St. Mary of the Angels,8.0
City of Toronto,Toronto,The Divine Infant,8.0
City of Toronto,Toronto,Alexmuir,7.9
Halton Region,Burlington,Alton Village,7.9
Peel Region,Brampton,Beryl Ford,7.9
