School_Name,City,City,Current_rank,Overall_last,dummy_1,dummy_2,dummy_3,dummy_4
Al-Risala,Mississauga,10,n/a,,,,,
Avondale,Alternative,Toronto,10,n/a,,,,
Havergal,Toronto,10,n/a,,,,,
IQRA,Islamic,Mississauga,10,n/a,,,,
Islamic,Foundation,Ajax,10,n/a,,,,
Islamic,Institute,of,Toronto,Toronto,10,n/a,,
Islamic,School,of,Cambridge,Cambridge,10,n/a,,
Khalsa,Community,Brampton,10,n/a,,,,
Khalsa,School,Malton,Mississauga,10,n/a,,,
Laggan,Dalkeith,10,n/a,,,,,
Northmount,Toronto,10,n/a,,,,,
Safa,&,Marwa,Mississauga,10,n/a,,,
Sathya,Sai,Toronto,10,n/a,,,,
St,Justin,Martyr,Unionville,10,n/a,,,
St,Mildred's-Lightbourn,Oakville,10,n/a,,,,
St,Sebastian,Toronto,10,n/a,,,,
Islamic,School,of,Hamilton,Hamilton,9.9,n/a,,
Silver,Stream,Richmond,Hill,9.9,n/a,,,
Sainte-Marguerite-Bourgeoys,Markham,9.8,n/a,,,,,
St,Benedict,Unionville,9.8,n/a,,,,
Convent,Glen,Orléans,9.7,n/a,,,,
Donald,Cousens,Markham,9.7,n/a,,,,
Nile,Academy,Toronto,9.6,n/a,,,,
Olive,Grove,Mississauga,9.6,n/a,,,,
Al-Ameen,Brampton,9.5,n/a,,,,,
Errol,Village,Camlachie,9.5,n/a,,,,
Fleming,Toronto,9.5,n/a,,,,,
Guru,Tegh,Bahadur,Brampton,9.5,n/a,,,
Lyn-Tincap,Lyn,9.5,n/a,,,,,
Stonebridge,Markham,9.5,n/a,,,,,
Whitney,Toronto,9.5,n/a,,,,,
St,Rose,of,Lima,Mississauga,9.4,n/a,,
Wali,ul,Asr,Brampton,9.4,n/a,,,
Clara,Hughes,Oshawa,9.3,n/a,,,,
Denlow,Toronto,9.3,n/a,,,,,
Fallingbrook,Whitby,9.3,n/a,,,,,
Humber,Valley,Village,Toronto,9.3,n/a,,,
ISNA,Islamic,Mississauga,9.3,n/a,,,,
John,Ross,Robertson,Toronto,9.3,n/a,,,
John,XXIII,Arnprior,9.3,n/a,,,,
Masonville,London,9.3,n/a,,,,,
St,Raphaels,Burlington,9.3,n/a,,,,
Beverly,Glen,Toronto,9.2,n/a,,,,
Islamic,Foundation,Toronto,9.2,n/a,,,,
St,Ann,St,Catharines,9.2,n/a,,,
Wali,ul,Asr,Caledon,9.2,n/a,,,
Ahlul,Bayt,Islamic,Ottawa,9.1,n/a,,,
Alexandra,Lindsay,9.1,n/a,,,,,
Arc-en-ciel,Orléans,9.1,n/a,,,,,
Blythwood,Toronto,9.1,n/a,,,,,
Elizabeth,B,Phin,Pickering,9.1,n/a,,,
North,Cavan,Cavan,9.1,n/a,,,,
Ossington/Old,Orchard,Toronto,9.1,n/a,,,,
Pine,Grove,St,Catharines,9.1,n/a,,,
St,Helen,Mississauga,9.1,n/a,,,,
St,Mark,Mississauga,9.1,n/a,,,,
Swansea,Toronto,9.1,n/a,,,,,
Coledale,Markham,9,n/a,,,,,
Holy,Name,of,Mary,Ancaster,9,n/a,,
Iroquois,Toronto,9,n/a,,,,,
John,T,Tuck,Burlington,9,n/a,,,
Sacré-Coeur,Bourget,9,n/a,,,,,
Saint-François-d'Assise,Ottawa,9,n/a,,,,,
San,Lorenzo,Ruiz,Markham,9,n/a,,,
St,Matthew's,Oakville,9,n/a,,,,
Withrow,Avenue,Toronto,9,n/a,,,,
